Date,Time,A,B,C
2024/7/1,0:24:30,15.7,2.03,-10.4
2024/7/1,0:24:40,15.8,2.04,-10.5
2024/7/1,0:24:50,15.9,2.05,-10.6
2024/7/1,0:25:00,16,2.06,-10.7
2024/7/1,0:25:10,16.1,2.07,-10.8
2024/7/1,0:25:20,16.2,2.08,-10.9
2024/7/1,0:25:30,16.3,2.09,-11
2024/7/1,0:25:40,16.4,2.1,-11.1
2024/7/1,0:25:50,16.5,2.11,-11.2
2024/7/1,0:26:00,16.6,2.12,-11.3
2024/7/1,0:26:10,16.7,2.13,-11.4
2024/7/1,0:26:20,16.8,2.14,-11.5
2024/7/1,0:26:30,16.9,2.15,-11.6
2024/7/1,0:26:40,17,2.16,-11.7
2024/7/1,0:26:50,17.1,2.17,-11.8
2024/7/1,0:27:00,17.2,2.18,-11.9
2024/7/1,0:27:10,17.3,2.19,-12
2024/7/1,0:27:20,17.4,2.2,-12.1
2024/7/1,0:27:30,17.5,2.21,-12.2
2024/7/1,0:27:40,17.6,2.22,-12.3
2024/7/1,0:27:50,17.7,2.23,-12.4
2024/7/1,0:28:00,17.8,2.24,-12.5
2024/7/1,0:28:10,17.9,2.25,-12.6
2024/7/1,0:28:20,18,2.26,-12.7
2024/7/1,0:28:30,18.1,2.27,-12.8
2024/7/1,0:28:40,18.2,2.28,-12.9
2024/7/1,0:28:50,18.3,2.29,-13
2024/7/1,0:29:00,18.4,2.3,-13.1
2024/7/1,0:29:10,18.5,2.31,-13.2
2024/7/1,0:29:20,18.6,2.32,-13.3
2024/7/1,0:29:30,18.7,2.33,-13.4
2024/7/1,0:29:40,18.8,2.34,-13.5
2024/7/1,0:29:50,18.9,2.35,-13.6
2024/7/1,0:30:00,19,2.36,-13.7
2024/7/1,0:30:10,19.1,2.37,-13.8
2024/7/1,0:30:20,19.2,2.38,-13.9
2024/7/1,0:30:30,19.3,2.39,-14
2024/7/1,0:30:40,19.4,2.4,-14.1
2024/7/1,0:30:50,19.5,2.41,-14.2
2024/7/1,0:31:00,19.6,2.42,-14.3
2024/7/1,0:31:10,19.7,2.43,-14.4
2024/7/1,0:31:20,19.8,2.44,-14.5
2024/7/1,0:31:30,19.9,2.45,-14.6
2024/7/1,0:31:40,20,2.46,-14.7
2024/7/1,0:31:50,20.1,2.47,-14.8
2024/7/1,0:32:00,20.2,2.48,-14.9
2024/7/1,0:32:10,20.3,2.49,-15
2024/7/1,0:32:20,20.4,2.5,-15.1
2024/7/1,0:32:30,20.5,2.51,-15.2
2024/7/1,0:32:40,20.6,2.52,-15.3
2024/7/1,0:32:50,20.7,2.53,-15.4
2024/7/1,0:33:00,20.8,2.54,-15.5
2024/7/1,0:33:10,20.9,2.55,-15.6
2024/7/1,0:33:20,21,2.56,-15.7
2024/7/1,0:33:30,21.1,2.57,-15.8
2024/7/1,0:33:40,21.2,2.58,-15.9
2024/7/1,0:33:50,21.3,2.59,-16
2024/7/1,0:34:00,21.4,2.6,-16.1
2024/7/1,0:34:10,21.5,2.61,-16.2
2024/7/1,0:34:20,21.6,2.62,-16.3
2024/7/1,0:34:30,21.7,2.63,-16.4
2024/7/1,0:34:40,21.8,2.64,-16.5
2024/7/1,0:34:50,21.9,2.65,-16.6
2024/7/1,0:35:00,22,2.66,-16.7
2024/7/1,0:35:10,22.1,2.67,-16.8
2024/7/1,0:35:20,22.2,2.68,-16.9
2024/7/1,0:35:30,22.3,2.69,-17
2024/7/1,0:35:40,22.4,2.7,-17.1
2024/7/1,0:35:50,22.5,2.71,-17.2
2024/7/1,0:36:00,22.6,2.72,-17.3
2024/7/1,0:36:10,22.7,2.73,-17.4
2024/7/1,0:36:20,22.8,2.74,-17.5
2024/7/1,0:36:30,22.9,2.75,-17.6
2024/7/1,0:36:40,23,2.76,-17.7
2024/7/1,0:36:50,23.1,2.77,-17.8
2024/7/1,0:37:00,23.2,2.78,-17.9
2024/7/1,0:37:10,23.3,2.79,-18
2024/7/1,0:37:20,23.4,2.8,-18.1
2024/7/1,0:37:30,23.5,2.81,-18.2
2024/7/1,0:37:40,23.6,2.82,-18.3
2024/7/1,0:37:50,23.7,2.83,-18.4
2024/7/1,0:38:00,23.8,2.84,-18.5
2024/7/1,0:38:10,23.9,2.85,-18.6
2024/7/1,0:38:20,24,2.86,-18.7
2024/7/1,0:38:30,24.1,2.87,-18.8
2024/7/1,0:38:40,24.2,2.88,-18.9
2024/7/1,0:38:50,24.3,2.89,-19
2024/7/1,0:39:00,24.4,2.9,-19.1
2024/7/1,0:39:10,24.5,2.91,-19.2
2024/7/1,0:39:20,24.6,2.92,-19.3
2024/7/1,0:39:30,24.7,2.93,-19.4
2024/7/1,0:39:40,24.8,2.94,-19.5
2024/7/1,0:39:50,24.9,2.95,-19.6
2024/7/1,0:40:00,25,2.96,-19.7
2024/7/1,0:40:10,25.1,2.97,-19.8
2024/7/1,0:40:20,25.2,2.98,-19.9
2024/7/1,0:40:30,25.3,2.99,-20
2024/7/1,0:40:40,25.4,3,-20.1
2024/7/1,0:40:50,25.5,3.01,-20.2
2024/7/1,0:41:00,25.6,3.02,-20.3
2024/7/1,0:41:10,25.7,3.03,-20.4
2024/7/1,0:41:20,25.8,3.04,-20.5
2024/7/1,0:41:30,25.9,3.05,-20.6
2024/7/1,0:41:40,26,3.06,-20.7
2024/7/1,0:41:50,26.1,3.07,-20.8
2024/7/1,0:42:00,26.2,3.08,-20.9
2024/7/1,0:42:10,26.3,3.09,-21
2024/7/1,0:42:20,26.4,3.1,-21.1
2024/7/1,0:42:30,26.5,3.11,-21.2
2024/7/1,0:42:40,26.6,3.12,-21.3
2024/7/1,0:42:50,26.7,3.13,-21.4
2024/7/1,0:43:00,26.8,3.14,-21.5
2024/7/1,0:43:10,26.9,3.15,-21.6
2024/7/1,0:43:20,27,3.16,-21.7
2024/7/1,0:43:30,27.1,3.17,-21.8
2024/7/1,0:43:40,27.2,3.18,-21.9
2024/7/1,0:43:50,27.3,3.19,-22
2024/7/1,0:44:00,27.4,3.2,-22.1
2024/7/1,0:44:10,27.5,3.21,-22.2
2024/7/1,0:44:20,27.6,3.22,-22.3
2024/7/1,0:44:30,27.7,3.23,-22.4
2024/7/1,0:44:40,27.8,3.24,-22.5
2024/7/1,0:44:50,27.9,3.25,-22.6
2024/7/1,0:45:00,28,3.26,-22.7
2024/7/1,0:45:10,28.1,3.27,-22.8
2024/7/1,0:45:20,28.2,3.28,-22.9
2024/7/1,0:45:30,28.3,3.29,-23
2024/7/1,0:45:40,28.4,3.3,-23.1
2024/7/1,0:45:50,28.5,3.31,-23.2
2024/7/1,0:46:00,28.6,3.32,-23.3
2024/7/1,0:46:10,28.7,3.33,-23.4
2024/7/1,0:46:20,28.8,3.34,-23.5
2024/7/1,0:46:30,28.9,3.35,-23.6
2024/7/1,0:46:40,29,3.36,-23.7
2024/7/1,0:46:50,29.1,3.37,-23.8
2024/7/1,0:47:00,29.2,3.38,-23.9
2024/7/1,0:47:10,29.3,3.39,-24
2024/7/1,0:47:20,29.4,3.4,-24.1
2024/7/1,0:47:30,29.5,3.41,-24.2
2024/7/1,0:47:40,29.6,3.42,-24.3
2024/7/1,0:47:50,29.7,3.43,-24.4
2024/7/1,0:48:00,29.8,3.44,-24.5
2024/7/1,0:48:10,29.9,3.45,-24.6
2024/7/1,0:48:20,30,3.46,-24.7
2024/7/1,0:48:30,30.1,3.47,-24.8
2024/7/1,0:48:40,30.2,3.48,-24.9
2024/7/1,0:48:50,30.3,3.49,-25
2024/7/1,0:49:00,30.4,3.5,-25.1
2024/7/1,0:49:10,30.5,3.51,-25.2
2024/7/1,0:49:20,30.6,3.52,-25.3
2024/7/1,0:49:30,30.7,3.53,-25.4
2024/7/1,0:49:40,30.8,3.54,-25.5
2024/7/1,0:49:50,30.9,3.55,-25.6
2024/7/1,0:50:00,31,3.56,-25.7
2024/7/1,0:50:10,31.1,3.57,-25.8
2024/7/1,0:50:20,31.2,3.58,-25.9
2024/7/1,0:50:30,31.3,3.59,-26
2024/7/1,0:50:40,31.4,3.6,-26.1
2024/7/1,0:50:50,31.5,3.61,-26.2
2024/7/1,0:51:00,31.6,3.62,-26.3
2024/7/1,0:51:10,31.7,3.63,-26.4
2024/7/1,0:51:20,31.8,3.64,-26.5
2024/7/1,0:51:30,31.9,3.65,-26.6
2024/7/1,0:51:40,32,3.66,-26.7
2024/7/1,0:51:50,32.1,3.67,-26.8
2024/7/1,0:52:00,32.2,3.68,-26.9
2024/7/1,0:52:10,32.3,3.69,-27
2024/7/1,0:52:20,32.4,3.7,-27.1
2024/7/1,0:52:30,32.5,3.71,-27.2
2024/7/1,0:52:40,32.6,3.72,-27.3
2024/7/1,0:52:50,32.7,3.73,-27.4
2024/7/1,0:53:00,32.8,3.74,-27.5
2024/7/1,0:53:10,32.9,3.75,-27.6
2024/7/1,0:53:20,33,3.76,-27.7
2024/7/1,0:53:30,33.1,3.77,-27.8
2024/7/1,0:53:40,33.2,3.78,-27.9
2024/7/1,0:53:50,33.3,3.79,-28
2024/7/1,0:54:00,33.4,3.8,-28.1
2024/7/1,0:54:10,33.5,3.81,-28.2
2024/7/1,0:54:20,33.6,3.82,-28.3
2024/7/1,0:54:30,33.7,3.83,-28.4
2024/7/1,0:54:40,33.8,3.84,-28.5
2024/7/1,0:54:50,33.9,3.85,-28.6
2024/7/1,0:55:00,34,3.86,-28.7
2024/7/1,0:55:10,34.1,3.87,-28.8
2024/7/1,0:55:20,34.2,3.88,-28.9
2024/7/1,0:55:30,34.3,3.89,-29
2024/7/1,0:55:40,34.4,3.9,-29.1
2024/7/1,0:55:50,34.5,3.91,-29.2
2024/7/1,0:56:00,34.6,3.92,-29.3
2024/7/1,0:56:10,34.7,3.93,-29.4
2024/7/1,0:56:20,34.8,3.94,-29.5
2024/7/1,0:56:30,34.9,3.95,-29.6
2024/7/1,0:56:40,35,3.96,-29.7
2024/7/1,0:56:50,35.1,3.97,-29.8
2024/7/1,0:57:00,35.2,3.98,-29.9
2024/7/1,0:57:10,35.3,3.99,-30
2024/7/1,0:57:20,35.4,4,-30.1
2024/7/1,0:57:30,35.5,4.01,-30.2
2024/7/1,0:57:40,35.6,4.02,-30.3
2024/7/1,0:57:50,35.7,4.03,-30.4
2024/7/1,0:58:00,35.8,4.04,-30.5
2024/7/1,0:58:10,35.9,4.05,-30.6
2024/7/1,0:58:20,36,4.06,-30.7
2024/7/1,0:58:30,36.1,4.07,-30.8
2024/7/1,0:58:40,36.2,4.08,-30.9
2024/7/1,0:58:50,36.3,4.09,-31
2024/7/1,0:59:00,36.4,4.1,-31.1
2024/7/1,0:59:10,36.5,4.11,-31.2
2024/7/1,0:59:20,36.6,4.12,-31.3
2024/7/1,0:59:30,36.7,4.13,-31.4
2024/7/1,0:59:40,36.8,4.14,-31.5
2024/7/1,0:59:50,36.9,4.15,-31.6
2024/7/1,1:00:00,37,4.16,-31.7
2024/7/1,1:00:10,37.1,4.17,-31.8
2024/7/1,1:00:20,37.2,4.18,-31.9
2024/7/1,1:00:30,37.3,4.19,-32
2024/7/1,1:00:40,37.4,4.2,-32.1
2024/7/1,1:00:50,37.5,4.21,-32.2
2024/7/1,1:01:00,37.6,4.22,-32.3
2024/7/1,1:01:10,37.7,4.23,-32.4
2024/7/1,1:01:20,37.8,4.24,-32.5
2024/7/1,1:01:30,37.9,4.25,-32.6
2024/7/1,1:01:40,38,4.26,-32.7
2024/7/1,1:01:50,38.1,4.27,-32.8
2024/7/1,1:02:00,38.2,4.28,-32.9
2024/7/1,1:02:10,38.3,4.29,-33
2024/7/1,1:02:20,38.4,4.3,-33.1
2024/7/1,1:02:30,38.5,4.31,-33.2
2024/7/1,1:02:40,38.6,4.32,-33.3
2024/7/1,1:02:50,38.7,4.33,-33.4
2024/7/1,1:03:00,38.8,4.34,-33.5
2024/7/1,1:03:10,38.9,4.35,-33.6
2024/7/1,1:03:20,39,4.36,-33.7
2024/7/1,1:03:30,39.1,4.37,-33.8
2024/7/1,1:03:40,39.2,4.38,-33.9
2024/7/1,1:03:50,39.3,4.39,-34
2024/7/1,1:04:00,39.4,4.4,-34.1
2024/7/1,1:04:10,39.5,4.41,-34.2
2024/7/1,1:04:20,39.6,4.42,-34.3
2024/7/1,1:04:30,39.7,4.43,-34.4
2024/7/1,1:04:40,39.8,4.44,-34.5
2024/7/1,1:04:50,39.9,4.45,-34.6
2024/7/1,1:05:00,40,4.46,-34.7
2024/7/1,1:05:10,40.1,4.47,-34.8
2024/7/1,1:05:20,40.2,4.48,-34.9
2024/7/1,1:05:30,40.3,4.49,-35
2024/7/1,1:05:40,40.4,4.5,-35.1
2024/7/1,1:05:50,40.5,4.51,-35.2
2024/7/1,1:06:00,40.6,4.52,-35.3
2024/7/1,1:06:10,40.7,4.53,-35.4
2024/7/1,1:06:20,40.8,4.54,-35.5
2024/7/1,1:06:30,40.9,4.55,-35.6
2024/7/1,1:06:40,41,4.56,-35.7
2024/7/1,1:06:50,41.1,4.57,-35.8
2024/7/1,1:07:00,41.2,4.58,-35.9
2024/7/1,1:07:10,41.3,4.59,-36
2024/7/1,1:07:20,41.4,4.6,-36.1
2024/7/1,1:07:30,41.5,4.61,-36.2
2024/7/1,1:07:40,41.6,4.62,-36.3
2024/7/1,1:07:50,41.7,4.63,-36.4
2024/7/1,1:08:00,41.8,4.64,-36.5
2024/7/1,1:08:10,41.9,4.65,-36.6
2024/7/1,1:08:20,42,4.66,-36.7
2024/7/1,1:08:30,42.1,4.67,-36.8
2024/7/1,1:08:40,42.2,4.68,-36.9
2024/7/1,1:08:50,42.3,4.69,-37
2024/7/1,1:09:00,42.4,4.7,-37.1
2024/7/1,1:09:10,42.5,4.71,-37.2
2024/7/1,1:09:20,42.6,4.72,-37.3
2024/7/1,1:09:30,42.7,4.73,-37.4
2024/7/1,1:09:40,42.8,4.74,-37.5
2024/7/1,1:09:50,42.9,4.75,-37.6
2024/7/1,1:10:00,43,4.76,-37.7
2024/7/1,1:10:10,43.1,4.77,-37.8
2024/7/1,1:10:20,43.2,4.78,-37.9
2024/7/1,1:10:30,43.3,4.79,-38
2024/7/1,1:10:40,43.4,4.8,-38.1
2024/7/1,1:10:50,43.5,4.81,-38.2
2024/7/1,1:11:00,43.6,4.82,-38.3
2024/7/1,1:11:10,43.7,4.83,-38.4
2024/7/1,1:11:20,43.8,4.84,-38.5
2024/7/1,1:11:30,43.9,4.85,-38.6
2024/7/1,1:11:40,44,4.86,-38.7
2024/7/1,1:11:50,44.1,4.87,-38.8
2024/7/1,1:12:00,44.2,4.88,-38.9
2024/7/1,1:12:10,44.3,4.89,-39
2024/7/1,1:12:20,44.4,4.9,-39.1
2024/7/1,1:12:30,44.5,4.91,-39.2
2024/7/1,1:12:40,44.6,4.92,-39.3
2024/7/1,1:12:50,44.7,4.93,-39.4
2024/7/1,1:13:00,44.8,4.94,-39.5
2024/7/1,1:13:10,44.9,4.95,-39.6
2024/7/1,1:13:20,45,4.96,-39.7
2024/7/1,1:13:30,45.1,4.97,-39.8
2024/7/1,1:13:40,45.2,4.98,-39.9
2024/7/1,1:13:50,45.3,4.99,-40
2024/7/1,1:14:00,45.4,5,-40.1
2024/7/1,1:14:10,45.5,5.01,-40.2
2024/7/1,1:14:20,45.6,5.02,-40.3
2024/7/1,1:14:30,45.7,5.03,-40.4
2024/7/1,1:14:40,45.8,5.04,-40.5
2024/7/1,1:14:50,45.9,5.05,-40.6
2024/7/1,1:15:00,46,5.06,-40.7
2024/7/1,1:15:10,46.1,5.07,-40.8
2024/7/1,1:15:20,46.2,5.08,-40.9
2024/7/1,1:15:30,46.3,5.09,-41
2024/7/1,1:15:40,46.4,5.1,-41.1
2024/7/1,1:15:50,46.5,5.11,-41.2
2024/7/1,1:16:00,46.6,5.12,-41.3
2024/7/1,1:16:10,46.7,5.13,-41.4
2024/7/1,1:16:20,46.8,5.14,-41.5
2024/7/1,1:16:30,46.9,5.15,-41.6
2024/7/1,1:16:40,47,5.16,-41.7
2024/7/1,1:16:50,47.1,5.17,-41.8
2024/7/1,1:17:00,47.2,5.18,-41.9
2024/7/1,1:17:10,47.3,5.19,-42
2024/7/1,1:17:20,47.4,5.2,-42.1
2024/7/1,1:17:30,47.5,5.21,-42.2
2024/7/1,1:17:40,47.6,5.22,-42.3
2024/7/1,1:17:50,47.7,5.23,-42.4
2024/7/1,1:18:00,47.8,5.24,-42.5
2024/7/1,1:18:10,47.9,5.25,-42.6
2024/7/1,1:18:20,48,5.26,-42.7
2024/7/1,1:18:30,48.1,5.27,-42.8
2024/7/1,1:18:40,48.2,5.28,-42.9
2024/7/1,1:18:50,48.3,5.29,-43
2024/7/1,1:19:00,48.4,5.3,-43.1
2024/7/1,1:19:10,48.5,5.31,-43.2
2024/7/1,1:19:20,48.6,5.32,-43.3
2024/7/1,1:19:30,48.7,5.33,-43.4
2024/7/1,1:19:40,48.8,5.34,-43.5
2024/7/1,1:19:50,48.9,5.35,-43.6
2024/7/1,1:20:00,49,5.36,-43.7
2024/7/1,1:20:10,49.1,5.37,-43.8
2024/7/1,1:20:20,49.2,5.38,-43.9
2024/7/1,1:20:30,49.3,5.39,-44
2024/7/1,1:20:40,49.4,5.4,-44.1
2024/7/1,1:20:50,49.5,5.41,-44.2
2024/7/1,1:21:00,49.6,5.42,-44.3
2024/7/1,1:21:10,49.7,5.43,-44.4
2024/7/1,1:21:20,49.8,5.44,-44.5
2024/7/1,1:21:30,49.9,5.45,-44.6
2024/7/1,1:21:40,50,5.46,-44.7
2024/7/1,1:21:50,50.1,5.47,-44.8
2024/7/1,1:22:00,50.2,5.48,-44.9
2024/7/1,1:22:10,50.3,5.49,-45
2024/7/1,1:22:20,50.4,5.5,-45.1
2024/7/1,1:22:30,50.5,5.51,-45.2
2024/7/1,1:22:40,50.6,5.52,-45.3
2024/7/1,1:22:50,50.7,5.53,-45.4
2024/7/1,1:23:00,50.8,5.54,-45.5
2024/7/1,1:23:10,50.9,5.55,-45.6
2024/7/1,1:23:20,51,5.56,-45.7
2024/7/1,1:23:30,51.1,5.57,-45.8
2024/7/1,1:23:40,51.2,5.58,-45.9
2024/7/1,1:23:50,51.3,5.59,-46
2024/7/1,1:24:00,51.4,5.6,-46.1
2024/7/1,1:24:10,51.5,5.61,-46.2
2024/7/1,1:24:20,51.6,5.62,-46.3
2024/7/1,1:24:30,51.7,5.63,-46.4
2024/7/1,1:24:40,51.8,5.64,-46.5
2024/7/1,1:24:50,51.9,5.65,-46.6
2024/7/1,1:25:00,52,5.66,-46.7
2024/7/1,1:25:10,52.1,5.67,-46.8
2024/7/1,1:25:20,52.2,5.68,-46.9
2024/7/1,1:25:30,52.3,5.69,-47
2024/7/1,1:25:40,52.4,5.7,-47.1
2024/7/1,1:25:50,52.5,5.71,-47.2
2024/7/1,1:26:00,52.6,5.72,-47.3
2024/7/1,1:26:10,52.7,5.73,-47.4
2024/7/1,1:26:20,52.8,5.74,-47.5
2024/7/1,1:26:30,52.9,5.75,-47.6
2024/7/1,1:26:40,53,5.76,-47.7
2024/7/1,1:26:50,53.1,5.77,-47.8
2024/7/1,1:27:00,53.2,5.78,-47.9
2024/7/1,1:27:10,53.3,5.79,-48
2024/7/1,1:27:20,53.4,5.8,-48.1
2024/7/1,1:27:30,53.5,5.81,-48.2
2024/7/1,1:27:40,53.6,5.82,-48.3
2024/7/1,1:27:50,53.7,5.83,-48.4
2024/7/1,1:28:00,53.8,5.84,-48.5
2024/7/1,1:28:10,53.9,5.85,-48.6
2024/7/1,1:28:20,54,5.86,-48.7
2024/7/1,1:28:30,54.1,5.87,-48.8
2024/7/1,1:28:40,54.2,5.88,-48.9
2024/7/1,1:28:50,54.3,5.89,-49
2024/7/1,1:29:00,54.4,5.9,-49.1
2024/7/1,1:29:10,54.5,5.91,-49.2
2024/7/1,1:29:20,54.6,5.92,-49.3
2024/7/1,1:29:30,54.7,5.93,-49.4
2024/7/1,1:29:40,54.8,5.94,-49.5
2024/7/1,1:29:50,54.9,5.95,-49.6
2024/7/1,1:30:00,55,5.96,-49.7
2024/7/1,1:30:10,55.1,5.97,-49.8
2024/7/1,1:30:20,55.2,5.98,-49.9
2024/7/1,1:30:30,55.3,5.99,-50
2024/7/1,1:30:40,55.4,6,-50.1
2024/7/1,1:30:50,55.5,6.01,-50.2
2024/7/1,1:31:00,55.6,6.02,-50.3
